author,author_name
http://www.example.edu/research/author_28308419.0,S. Regmi
http://www.example.edu/research/author_7817034.0,Puhong Duan
http://www.example.edu/research/author_1442049684.0,M. Gwinn
http://www.example.edu/research/author_2071375189.0,Lawrence
http://www.example.edu/research/author_3974472.0,E. Bachère
http://www.example.edu/research/author_2116031156.0,Mi Zhang
http://www.example.edu/research/author_2364443.0,D. Engovatov
http://www.example.edu/research/author_2105795.0,Michael J. Black
http://www.example.edu/research/author_2638246.0,Alex Beutel
http://www.example.edu/research/author_2104035.0,H. G. Ramulu
http://www.example.edu/research/author_3304816.0,Suresh Anthony
http://www.example.edu/research/author_39934542.0,Benjamin Moody
http://www.example.edu/research/author_2149559075.0,Sangjin Shin
http://www.example.edu/research/author_3005971.0,R. Trasarti
http://www.example.edu/research/author_143728483.0,A. Galstyan
http://www.example.edu/research/author_2912118.0,Hanzhen Sun
http://www.example.edu/research/author_1885282835.0,Erna Budhiarti Nababan
http://www.example.edu/research/author_144202084.0,Zhiyong Lu
http://www.example.edu/research/author_153440022.0,I. Goodfellow
http://www.example.edu/research/author_1731107.0,R. Rosati
http://www.example.edu/research/author_1394049881.0,The Genomic Observatories Network
http://www.example.edu/research/author_1403596516.0,A. El-Bastawissy
http://www.example.edu/research/author_30504500.0,M. Kilibarda
http://www.example.edu/research/author_50355692.0,H. Gall
http://www.example.edu/research/author_2265951264.0,Grace C. Davey
http://www.example.edu/research/author_1864827.0,J. Naessens
http://www.example.edu/research/author_2143911040.0,Jie Hu
http://www.example.edu/research/author_2520493.0,R. Shokri
http://www.example.edu/research/author_1784548.0,R. Mural
http://www.example.edu/research/author_14332753.0,M. Tizabi
http://www.example.edu/research/author_89069837.0,Z. Rengel
http://www.example.edu/research/author_2967695.0,E. Koonin
http://www.example.edu/research/author_8565142.0,Eilon Gabel
http://www.example.edu/research/author_144470846.0,Ajit Singh
http://www.example.edu/research/author_3214594.0,Katie Shilton
http://www.example.edu/research/author_2272736.0,P. Caccetta
http://www.example.edu/research/author_145276593.0,J. R. Brister
http://www.example.edu/research/author_144863127.0,Valerie A. Schneider
http://www.example.edu/research/author_2716301.0,B. Rance
http://www.example.edu/research/author_144643812.0,Z. B. Celik
http://www.example.edu/research/author_32711030.0,I. Kartoglu
http://www.example.edu/research/author_46201673.0,Alex Ng
http://www.example.edu/research/author_49301018.0,M. Dolan
http://www.example.edu/research/author_2303719.0,R. Aldridge
http://www.example.edu/research/author_2065681786.0,Michael Luggen
http://www.example.edu/research/author_46172352.0,S. Lathrop
http://www.example.edu/research/author_50294532.0,Jonathan Warren
http://www.example.edu/research/author_31090592.0,Y. Peer
http://www.example.edu/research/author_4262822.0,Vincent Benoit
http://www.example.edu/research/author_1737505.0,J. Pesquet
http://www.example.edu/research/author_34033551.0,M. Birk
http://www.example.edu/research/author_49794760.0,Xin Chen
http://www.example.edu/research/author_145720231.0,L. Hunter
http://www.example.edu/research/author_1681016.0,B. Lelieveldt
http://www.example.edu/research/author_2286686831.0,Reid Pinchback
http://www.example.edu/research/author_48740398.0,Z. Ullah
http://www.example.edu/research/author_143673154.0,N. Larsen
http://www.example.edu/research/author_144758007.0,P. Barham
http://www.example.edu/research/author_2737693.0,A. Berti
http://www.example.edu/research/author_1681236.0,L. Gool
http://www.example.edu/research/author_47508912.0,P. Keating
http://www.example.edu/research/author_46888415.0,A. Bateman
http://www.example.edu/research/author_1731453.0,T. Pedersen
http://www.example.edu/research/author_2150280858.0,Gerard D. Wright
http://www.example.edu/research/author_49899890.0,Sunghwan Kim
http://www.example.edu/research/author_145860112.0,A. Ruggiero
http://www.example.edu/research/author_80249328.0,K. Rodarmer
http://www.example.edu/research/author_10790574.0,Louis-Félix Nothias
http://www.example.edu/research/author_50617031.0,P. Kitts
http://www.example.edu/research/author_34561147.0,Zina M. Ibrahim
http://www.example.edu/research/author_1780214785.0,Sahil Verma
http://www.example.edu/research/author_2248440169.0,S. Lewis
http://www.example.edu/research/author_20939027.0,M. Mullokandov
http://www.example.edu/research/author_3351164.0,Been Kim
http://www.example.edu/research/author_1942300.0,M. Kudlur
http://www.example.edu/research/author_33732977.0,Swapnil Mahajan
http://www.example.edu/research/author_1685522.0,S. Jackson
http://www.example.edu/research/author_2150446922.0,Daniel Johnson
http://www.example.edu/research/author_151505981.0,Chiyuan Zhang
http://www.example.edu/research/author_1585780832.0,Hellena Hempe
http://www.example.edu/research/author_1720617.0,A. Bradley
http://www.example.edu/research/author_2265832.0,I. Ribón
http://www.example.edu/research/author_8365320.0,Joshua Romoff
http://www.example.edu/research/author_1391661732.0,Markus Rudy
http://www.example.edu/research/author_49974981.0,P. Flicek
http://www.example.edu/research/author_2109534192.0,Jingdong Wang
http://www.example.edu/research/author_65841662.0,D. Filimon
http://www.example.edu/research/author_114246606.0,P. Teare
http://www.example.edu/research/author_2422996.0,A. Davidson
http://www.example.edu/research/author_39370406.0,Matloob Qureshi
http://www.example.edu/research/author_49370597.0,Thomas Lengauer
http://www.example.edu/research/author_81358076.0,E. Paso
http://www.example.edu/research/author_114919270.0,Joydeep Sen Sarma
http://www.example.edu/research/author_3181036.0,S. Vasudevan
http://www.example.edu/research/author_2115297093.0,Yang Bai
http://www.example.edu/research/author_2983898.0,Ross B. Girshick
http://www.example.edu/research/author_1744726.0,Cathy H. Wu
http://www.example.edu/research/author_2780689.0,Y. Ugawa
http://www.example.edu/research/author_2892135.0,Steven Pelley
http://www.example.edu/research/author_150302778.0,Senthilkumar Mohan
http://www.example.edu/research/author_2775559.0,Fred Morstatter
http://www.example.edu/research/author_2168267.0,Radislav Vaisman
http://www.example.edu/research/author_2105763418.0,S. Y. Rhee
http://www.example.edu/research/author_1730445.0,P. Hugenholtz
http://www.example.edu/research/author_2071819069.0,Zheng Shao
http://www.example.edu/research/author_3954852.0,C. Toher
http://www.example.edu/research/author_2051758169.0,F. Theis
http://www.example.edu/research/author_2151100995.0,Chen Wu
http://www.example.edu/research/author_2578936.0,B. Hitz
http://www.example.edu/research/author_39454224.0,Arnab Phani
http://www.example.edu/research/author_6032764.0,H. Azadbakht
http://www.example.edu/research/author_31909725.0,C. Edwardson
http://www.example.edu/research/author_143979395.0,H. Wechsler
http://www.example.edu/research/author_49185510.0,A. Roberts
http://www.example.edu/research/author_1491045741.0,Ignacio Vizzo
http://www.example.edu/research/author_51025128.0,Kathi Canese
http://www.example.edu/research/author_143863611.0,A. Tripathi
http://www.example.edu/research/author_1419257471.0,Nadine Kolas
http://www.example.edu/research/author_143839838.0,S. Campbell
http://www.example.edu/research/author_2285301474.0,Ken Chu
http://www.example.edu/research/author_36187161.0,K. Pang
http://www.example.edu/research/author_2289846690.0,Dekang Lin
http://www.example.edu/research/author_84308998.0,Anatoly Mnev
http://www.example.edu/research/author_144137069.0,Xiaodong He
http://www.example.edu/research/author_2078848935.0,Avinash Inuganti
http://www.example.edu/research/author_36743361.0,Dakuo Wang
http://www.example.edu/research/author_49521390.0,Yuhui Yuan
http://www.example.edu/research/author_144565371.0,P. Pérez
http://www.example.edu/research/author_143665740.0,Erick Cardenas
http://www.example.edu/research/author_1798372.0,Iro Armeni
http://www.example.edu/research/author_21512561.0,K. Higo
http://www.example.edu/research/author_123894038.0,J. Mustafina
http://www.example.edu/research/author_51250527.0,J Zhang
http://www.example.edu/research/author_2805081.0,N. Kyrpides
http://www.example.edu/research/author_1744109.0,S. Salzberg
http://www.example.edu/research/author_38448016.0,Zheng Zhang
http://www.example.edu/research/author_1776085.0,M. Berriman
http://www.example.edu/research/author_2069382338.0,M. A. Cooper
http://www.example.edu/research/author_1769599.0,P. Pagano
http://www.example.edu/research/author_1793739.0,David J. Fleet
http://www.example.edu/research/author_1397292835.0,Anita Burgun-Parenthoine
http://www.example.edu/research/author_88478180.0,K. Ramasamy
http://www.example.edu/research/author_2064484968.0,Bob Becker
http://www.example.edu/research/author_27257992.0,Mathieu Blondel
http://www.example.edu/research/author_145802955.0,S. Pearson
http://www.example.edu/research/author_145253407.0,G. Heuvelink
http://www.example.edu/research/author_143940091.0,F. Aarestrup
http://www.example.edu/research/author_1952183.0,O. Kohany
http://www.example.edu/research/author_2247476543.0,Prasad Gunasekaran
http://www.example.edu/research/author_17888407.0,Tina Seto
http://www.example.edu/research/author_153302678.0,Jia Deng
http://www.example.edu/research/author_34872616.0,Gabriela Montoya
http://www.example.edu/research/author_2114675387.0,M. Campbell
http://www.example.edu/research/author_2286764736.0,Qing Wang
http://www.example.edu/research/author_2114280962.0,Chanmee Sirichanya
http://www.example.edu/research/author_2146553512.0,Qiang Liu
http://www.example.edu/research/author_46199115.0,Shiyin Wei
http://www.example.edu/research/author_2669688.0,B. Charnomordic
http://www.example.edu/research/author_2176850.0,M. Ghandi
http://www.example.edu/research/author_143980996.0,Mubbasir Kapadia
http://www.example.edu/research/author_144644619.0,S. Marsh
http://www.example.edu/research/author_40131608.0,A. Yazdani
http://www.example.edu/research/author_7018573.0,K. Hu
http://www.example.edu/research/author_1561777696.0,Michael J. Muller
http://www.example.edu/research/author_52357291.0,J. University
http://www.example.edu/research/author_1979489.0,Kyunghyun Cho
http://www.example.edu/research/author_144996383.0,Panos Vassiliadis
http://www.example.edu/research/author_39144781.0,Lokesh P. Tripathi
http://www.example.edu/research/author_5883735.0,A. Munnich
http://www.example.edu/research/author_1820776.0,Seokju Lee
http://www.example.edu/research/author_3168127.0,S. Contrino
http://www.example.edu/research/author_72466489.0,Chris Kollen
http://www.example.edu/research/author_2002213.0,T. Bjorndahl
http://www.example.edu/research/author_2742129.0,Roland Vollgraf
http://www.example.edu/research/author_51327074.0,Daniel Petersheim
http://www.example.edu/research/author_4908509.0,Ben Kreuter
http://www.example.edu/research/author_1401679020.0,O. Ba-Rukab
http://www.example.edu/research/author_2109634458.0,Jim Clark
http://www.example.edu/research/author_2452441.0,Simon Caton
http://www.example.edu/research/author_1694224.0,C. Renso
http://www.example.edu/research/author_2238713320.0,C.K.M. Lee
http://www.example.edu/research/author_73685318.0,Ingrid Lange
http://www.example.edu/research/author_1713687.0,M. Kubát
http://www.example.edu/research/author_144750091.0,R. Tournier
http://www.example.edu/research/author_1381269833.0,M. Peterson
http://www.example.edu/research/author_144307851.0,Charles Siegel
http://www.example.edu/research/author_32721504.0,S. Mikhailenko
http://www.example.edu/research/author_3317624.0,W. Inmon
http://www.example.edu/research/author_9957625.0,Zhenqin Wu
http://www.example.edu/research/author_49398806.0,Jian Ye
http://www.example.edu/research/author_2150913810.0,Northwest Indian College
http://www.example.edu/research/author_36448539.0,David I. Hurwitz
http://www.example.edu/research/author_3369421.0,J. Levenberg
http://www.example.edu/research/author_2064178966.0,Adrienne Heinrich
http://www.example.edu/research/author_1750932565.0,Chudi Zhong
http://www.example.edu/research/author_1739846.0,D. Lembo
http://www.example.edu/research/author_145233982.0,M. Mohseni
http://www.example.edu/research/author_1743533.0,H. Watson
http://www.example.edu/research/author_2911364.0,Timo Sachsenberg
http://www.example.edu/research/author_2075619.0,Konstantinos Chatzilygeroudis
http://www.example.edu/research/author_40541154.0,T. Pollard
http://www.example.edu/research/author_39276324.0,S. Anderson
http://www.example.edu/research/author_46403083.0,Hyunsoo Na
http://www.example.edu/research/author_1737754.0,J. Siskind
http://www.example.edu/research/author_2051804565.0,Jan Stanczuk
http://www.example.edu/research/author_2053781980.0,Vijay Vasudevan
http://www.example.edu/research/author_12065535.0,D. Jacquemart
http://www.example.edu/research/author_2311613.0,Theresa M. Vitolo
http://www.example.edu/research/author_39054084.0,Tomoko Korenaga
http://www.example.edu/research/author_144451975.0,R. Alhajj
http://www.example.edu/research/author_2107510.0,K. Eilbeck
http://www.example.edu/research/author_3469125.0,Congzheng Song
http://www.example.edu/research/author_2070914382.0,P. Povinec
http://www.example.edu/research/author_1685292.0,T. Poggio
http://www.example.edu/research/author_152722796.0,Patel Jay
http://www.example.edu/research/author_7536576.0,Benjamin Van Durme
http://www.example.edu/research/author_2565389.0,K. Karra
http://www.example.edu/research/author_2257435815.0,Yin Yang
http://www.example.edu/research/author_2000504448.0,Lowri Williams
http://www.example.edu/research/author_2550579.0,V. Bajic
http://www.example.edu/research/author_145233583.0,M. Wattenberg
http://www.example.edu/research/author_145261717.0,H. Fröhlich
http://www.example.edu/research/author_2108689288.0,Wencheng Li
http://www.example.edu/research/author_1709392.0,D. Donoho
http://www.example.edu/research/author_1776968.0,T. Tatusova
http://www.example.edu/research/author_40595529.0,S. Tashkun
http://www.example.edu/research/author_7932476.0,A. Nikolskaya
http://www.example.edu/research/author_13084208.0,S. Hewapathirana
http://www.example.edu/research/author_1702137.0,S. Savarese
http://www.example.edu/research/author_2288409610.0,Jenny Shaw
http://www.example.edu/research/author_3512025.0,E. Shenkman
http://www.example.edu/research/author_1851520.0,V. Chetvernin
http://www.example.edu/research/author_2115838911.0,Masato Kimura
http://www.example.edu/research/author_2902641.0,T. Woyke
http://www.example.edu/research/author_145229121.0,Chandan Singh
http://www.example.edu/research/author_2069849469.0,Gwendolyn Schwab
http://www.example.edu/research/author_36967624.0,R. E. Tully
http://www.example.edu/research/author_1666420491.0,Anamaria Crisan
http://www.example.edu/research/author_2066145.0,D. Wishart
http://www.example.edu/research/author_144136533.0,K. Devi
http://www.example.edu/research/author_144458815.0,A. Tari
http://www.example.edu/research/author_2427813.0,Lewis Y. Geer
http://www.example.edu/research/author_49556529.0,L. Cincio
http://www.example.edu/research/author_31904485.0,Samir Passi
http://www.example.edu/research/author_89420937.0,F. Diakogiannis
http://www.example.edu/research/author_144060663.0,R. Agarwala
http://www.example.edu/research/author_122764317.0,A. Teoh
http://www.example.edu/research/author_11379483.0,I. Dondoshansky
http://www.example.edu/research/author_1721012.0,Anne E Carpenter
http://www.example.edu/research/author_2660689.0,O. Papaspiliopoulos
http://www.example.edu/research/author_1708269.0,M. Martonosi
http://www.example.edu/research/author_nan,Hui Li
http://www.example.edu/research/author_nan,Chaofan Chen
http://www.example.edu/research/author_nan,Alessandro Anna Emily Emmanuel Georg Ghassem Guang Helmut Jac Ruggiero Korhonen Jefferson Ako Langs Gozaliasl Ya
http://www.example.edu/research/author_nan,Hao Li
http://www.example.edu/research/author_nan,Andrea Baraldi
http://www.example.edu/research/author_nan,Richa Tanya Jeff Dennis A Colleen Evan Devon J Rodney St Agarwala Barrett Beck Benson Bollin Bolton Bourexi
http://www.example.edu/research/author_48096253.0,Long Zhao
http://www.example.edu/research/author_11577423.0,J. Lamouroux
http://www.example.edu/research/author_3049787.0,A. McArthur
http://www.example.edu/research/author_16126099.0,C. Mackie
http://www.example.edu/research/author_9727014.0,Chandrasegar Thirumalai
http://www.example.edu/research/author_1784472.0,Yuejie Chi
http://www.example.edu/research/author_8126949.0,T. Hubbard
http://www.example.edu/research/author_2631572.0,B. Daniel
http://www.example.edu/research/author_145071265.0,A. Montanari
http://www.example.edu/research/author_30938421.0,Harco Leslie Hendric Spits Wamars
http://www.example.edu/research/author_145598514.0,Michael Backes
http://www.example.edu/research/author_2343654.0,Hsin-Yuan Huang
http://www.example.edu/research/author_6845076.0,M. Preuss
http://www.example.edu/research/author_1975411.0,Agnieszka Lawrynowicz
http://www.example.edu/research/author_35664117.0,Brandon M. Greenwell
http://www.example.edu/research/author_1508337194.0,Minjie Wang
http://www.example.edu/research/author_2361373.0,G. Domselaar
http://www.example.edu/research/author_48694885.0,Weidong Bao
http://www.example.edu/research/author_40299241.0,R. Lyne
http://www.example.edu/research/author_2086383772.0,J. Gilbey
http://www.example.edu/research/author_20779472.0,Mentewab Ayalew
http://www.example.edu/research/author_2441204.0,Melanie Tory
http://www.example.edu/research/author_90503494.0,Honolulu
http://www.example.edu/research/author_1997850.0,T. Taimre
http://www.example.edu/research/author_2146245.0,S. Mantel
http://www.example.edu/research/author_2247699813.0,Arnaud Huvet
http://www.example.edu/research/author_1981923.0,M. Pesaresi
http://www.example.edu/research/author_144193437.0,N. Kucher
http://www.example.edu/research/author_2356294.0,J. Schultze
http://www.example.edu/research/author_48094297.0,Jinan Wang
http://www.example.edu/research/author_1707161.0,N. Sang
http://www.example.edu/research/author_12668727.0,F. Tran
http://www.example.edu/research/author_1751762.0,Yoshua Bengio
http://www.example.edu/research/author_50666189.0,Giuseppe Carleo
http://www.example.edu/research/author_2143383571.0,Vamsi K Kodali
http://www.example.edu/research/author_1883943.0,Dimoklis Despotakis
http://www.example.edu/research/author_2598812.0,V. Stodden
http://www.example.edu/research/author_47165043.0,R. Y. Eberhardt
http://www.example.edu/research/author_2182166.0,K. Sirotkin
http://www.example.edu/research/author_145385877.0,D. Landsman
http://www.example.edu/research/author_2061630201.0,H. C. Lane
http://www.example.edu/research/author_28109358.0,Baltimore.
http://www.example.edu/research/author_50477132.0,W. Klimke
http://www.example.edu/research/author_1524732527.0,Xuezhi Wang
http://www.example.edu/research/author_1893645.0,Sébastien Destercke
http://www.example.edu/research/author_35078078.0,M. Wicke
http://www.example.edu/research/author_144899986.0,Markus Holzer
http://www.example.edu/research/author_8606450.0,Kyle W. Karhohs
http://www.example.edu/research/author_2355783.0,P. Coutinho
http://www.example.edu/research/author_2245929.0,M. Punta
http://www.example.edu/research/author_2091763801.0,N. Dengen
http://www.example.edu/research/author_39345350.0,Mengting Gu
http://www.example.edu/research/author_2515978.0,R. Gamache
http://www.example.edu/research/author_3081489.0,A. Mosavi
http://www.example.edu/research/author_1730104.0,N. Lavrač
http://www.example.edu/research/author_4149364.0,B. Somani
http://www.example.edu/research/author_3062916.0,B. Shoichet
http://www.example.edu/research/author_1950529.0,B. Henrissat
http://www.example.edu/research/author_2245791141.0,Keith Keller
http://www.example.edu/research/author_50128029.0,Pinal Shah
http://www.example.edu/research/author_2067479253.0,Michael Yeung
http://www.example.edu/research/author_48348200.0,Jesse R. Zaneveld
http://www.example.edu/research/author_21683857.0,Fatima Chikh
http://www.example.edu/research/author_2150913597.0,V. S. University
http://www.example.edu/research/author_1767709.0,Alexey Radul
http://www.example.edu/research/author_10371954.0,P. Schommers
http://www.example.edu/research/author_1878835.0,Daniel Ramage
http://www.example.edu/research/author_2579653.0,M. Gwadz
http://www.example.edu/research/author_48016595.0,Hao Wang
http://www.example.edu/research/author_4820405.0,Mingzhang Yang
http://www.example.edu/research/author_145562556.0,J. Jackson
http://www.example.edu/research/author_2924979.0,Daniela Butano
http://www.example.edu/research/author_2226941426.0,Ningze Pang
http://www.example.edu/research/author_49229323.0,M. Stark
http://www.example.edu/research/author_1398876428.0,Aron Marchler-Bauer
http://www.example.edu/research/author_1710398.0,E. Duchesnay
http://www.example.edu/research/author_144907031.0,L. Holm
http://www.example.edu/research/author_2052777412.0,T. Y. E. Lai
http://www.example.edu/research/author_2257989566.0,Sarah Kim-Hellmuth
http://www.example.edu/research/author_2405143.0,T. Bekel
http://www.example.edu/research/author_1805323.0,G. Thijs
http://www.example.edu/research/author_3715983.0,L. Rothman
http://www.example.edu/research/author_2547227.0,M. Rohban
http://www.example.edu/research/author_48278932.0,D. Dalevi
http://www.example.edu/research/author_2117163698.0,Yuan Yu
http://www.example.edu/research/author_2109669495.0,A. Sharma
http://www.example.edu/research/author_152245643.0,Y. Ni
http://www.example.edu/research/author_144355399.0,O. Kovalenko
http://www.example.edu/research/author_121737858.0,Lawrence Fitzpatrick
http://www.example.edu/research/author_3139174.0,N. Chen
http://www.example.edu/research/author_145677256.0,M. Eisenacher
http://www.example.edu/research/author_2150913272.0,Loyda B. M'endez
http://www.example.edu/research/author_1807652.0,S. Bryant
http://www.example.edu/research/author_102517549.0,U. O. T. A. E. Paso
http://www.example.edu/research/author_144440741.0,Yang Liu
http://www.example.edu/research/author_51884035.0,N. Saxena
http://www.example.edu/research/author_2286779867.0,El AminAouladAbdelouarit
http://www.example.edu/research/author_40397337.0,G. Giannopoulos
http://www.example.edu/research/author_1760750.0,Shiji Song
http://www.example.edu/research/author_144341429.0,Javier D. Fernández
http://www.example.edu/research/author_9460712.0,H. Sahraoui
http://www.example.edu/research/author_1454363000.0,Weizhe Lin
http://www.example.edu/research/author_1873696.0,P. Gaudet
http://www.example.edu/research/author_2212030.0,Antonio Marcedone
http://www.example.edu/research/author_145689461.0,Adrian Weller
http://www.example.edu/research/author_144086987.0,Y. Chung
http://www.example.edu/research/author_144831784.0,M. Serrano
http://www.example.edu/research/author_2283938337.0,Dishita Naik
http://www.example.edu/research/author_40497400.0,D. Moldovan
http://www.example.edu/research/author_1708077.0,S. Eddy
http://www.example.edu/research/author_2021973.0,Selma Khouri
http://www.example.edu/research/author_2862871.0,M. Salzmann
http://www.example.edu/research/author_2149390974.0,Jonathan Schmidt
http://www.example.edu/research/author_83103121.0,R. Werfalli
http://www.example.edu/research/author_144477172.0,R. Kimball
http://www.example.edu/research/author_1782525.0,S. Subrahmanya
http://www.example.edu/research/author_144613163.0,Christian Hansen
http://www.example.edu/research/author_143791100.0,Siyuan Ma
http://www.example.edu/research/author_47760854.0,K. Chowdhury
http://www.example.edu/research/author_2115684309.0,Yang Xu
http://www.example.edu/research/author_2531746.0,V. Brover
http://www.example.edu/research/author_145467476.0,J. Jurka
http://www.example.edu/research/author_1975476.0,W. Verachtert
http://www.example.edu/research/author_2062880835.0,Patrick Scholz
http://www.example.edu/research/author_144440084.0,Michael J. Muller
http://www.example.edu/research/author_2912107.0,Raja Chiky
http://www.example.edu/research/author_30723072.0,P. Bernath
http://www.example.edu/research/author_2244235521.0,Hermann-Josef Gröne
http://www.example.edu/research/author_38899048.0,Yunhu Wan
http://www.example.edu/research/author_47941411.0,P. Warden
http://www.example.edu/research/author_2654622.0,S. Kelley
http://www.example.edu/research/author_1740640.0,Wessel Kraaij
http://www.example.edu/research/author_39944472.0,F. Toma
http://www.example.edu/research/author_1836606.0,T. Landauer
http://www.example.edu/research/author_145525190.0,J. Pei
http://www.example.edu/research/author_2052127.0,Richard McVeigh
http://www.example.edu/research/author_1715959.0,Stefano Soatto
http://www.example.edu/research/author_48965924.0,Stefanie N. Lindstaedt
http://www.example.edu/research/author_1753333150.0,Vasilis Papastefanopoulos
http://www.example.edu/research/author_2978170.0,Fartash Faghri
http://www.example.edu/research/author_48858818.0,Jon Chambers
http://www.example.edu/research/author_108374560.0,Bethesda.
http://www.example.edu/research/author_3048564.0,M. Schuld
http://www.example.edu/research/author_145396185.0,T. Mitchell
http://www.example.edu/research/author_145955549.0,R. Salomon
http://www.example.edu/research/author_81009968.0,Colleen J. Bollin
http://www.example.edu/research/author_2257337884.0,Yan Lindsay Sun
http://www.example.edu/research/author_1767563.0,G. Hutchison
http://www.example.edu/research/author_2066165068.0,Tim Matthews
http://www.example.edu/research/author_2286520440.0,Matthias W. Seeger
http://www.example.edu/research/author_77480028.0,Rockville
http://www.example.edu/research/author_1737922.0,G. Liva
http://www.example.edu/research/author_145567472.0,L. Bonaguro
http://www.example.edu/research/author_2153012390.0,Ning Zhang
http://www.example.edu/research/author_2691377.0,K. Dolinski
http://www.example.edu/research/author_1401282143.0,Jose A Navas-Molina
http://www.example.edu/research/author_3178042.0,C. Servin
http://www.example.edu/research/author_2148761004.0,Longbing Cao
http://www.example.edu/research/author_145291669.0,Bolei Zhou
http://www.example.edu/research/author_2067158540.0,Zinat Sayeeda
http://www.example.edu/research/author_1947387.0,Davis J. McCarthy
http://www.example.edu/research/author_2412941.0,Krishna Palaniappan
http://www.example.edu/research/author_9395892.0,Jiansheng Huang
http://www.example.edu/research/author_2194791.0,C. Huttenhower
http://www.example.edu/research/author_1441363881.0,Stefanie Warnat-Herresthal
http://www.example.edu/research/author_144085315.0,P. Tamayo
http://www.example.edu/research/author_1471609826.0,Gang Zeng
http://www.example.edu/research/author_46867002.0,Yi Zhang
http://www.example.edu/research/author_46916438.0,R. Balling
http://www.example.edu/research/author_145453857.0,R. Mazumder
http://www.example.edu/research/author_2617203.0,D. Haft
http://www.example.edu/research/author_2258460322.0,Priyanka Shahi
http://www.example.edu/research/author_1739503.0,A. G. Baydin
http://www.example.edu/research/author_21653787.0,Sean L. Bowman
http://www.example.edu/research/author_145386345.0,Derek Gross
http://www.example.edu/research/author_2544559.0,C. V. Mering
http://www.example.edu/research/author_2226287509.0,J. Cole
http://www.example.edu/research/author_2149626.0,D. Botstein
http://www.example.edu/research/author_95853916.0,Alberto Groff
http://www.example.edu/research/author_2190326370.0,Divyansh Mundra
http://www.example.edu/research/author_15561438.0,Hyung-Ho Seo
http://www.example.edu/research/author_8663663.0,J. Tennyson
http://www.example.edu/research/author_39743720.0,B. Nelson
http://www.example.edu/research/author_145130121.0,Alberto Santos
http://www.example.edu/research/author_1722884.0,R. Apweiler
http://www.example.edu/research/author_1789737.0,Jonathon Shlens
http://www.example.edu/research/author_1723945.0,Vitaly Shmatikov
http://www.example.edu/research/author_5538503.0,C. Abnet
http://www.example.edu/research/author_70102214.0,California LosAngeles
http://www.example.edu/research/author_1716043.0,Jorge Bernardino
http://www.example.edu/research/author_6454443.0,Martin G. Seneviratne
http://www.example.edu/research/author_2181974014.0,Nithin Raj
http://www.example.edu/research/author_2471612.0,R. Arora
http://www.example.edu/research/author_144525380.0,S. Engel
http://www.example.edu/research/author_145593069.0,H. Müller
http://www.example.edu/research/author_2111236786.0,Dongxu Wang
http://www.example.edu/research/author_2548167.0,A. Karpatne
